the first floor until the first floor until the green room and the red room	( first_floor ) U ( ( first_floor ) U ( ( green_room ) & ( red_room ) ) )
the green room until landmark one until landmark one and the green room	( green_room ) U ( ( landmark_1 ) U ( ( landmark_1 ) & ( green_room ) ) )
landmark one until the green room and landmark one until the first floor	( landmark_1 ) U ( ( ( green_room ) & ( landmark_1 ) ) U ( first_floor ) )
the green room and the red room until the first floor until landmark one	( ( ( green_room ) & ( red_room ) ) U ( first_floor ) ) U ( landmark_1 )
the first floor until the first floor until the first floor and the first floor	( first_floor ) U ( ( first_floor ) U ( ( first_floor ) & ( first_floor ) ) )
landmark one until the green room and the green room until the red room	( ( landmark_1 ) U ( ( green_room ) & ( green_room ) ) ) U ( red_room )
the green room and the first floor until the green room until the first floor	( ( ( green_room ) & ( first_floor ) ) U ( green_room ) ) U ( first_floor )
the green room until the red room and the red room until the first floor	( ( green_room ) U ( ( red_room ) & ( red_room ) ) ) U ( first_floor )
the green room until landmark one until the green room and the red room	( green_room ) U ( ( landmark_1 ) U ( ( green_room ) & ( red_room ) ) )
the red room until landmark one and the first floor until the first floor	( red_room ) U ( ( ( landmark_1 ) & ( first_floor ) ) U ( first_floor ) )
the first floor until landmark one and the green room until the green room	( ( first_floor ) U ( ( landmark_1 ) & ( green_room ) ) ) U ( green_room )
landmark one until the green room and the first floor until the first floor	( landmark_1 ) U ( ( ( green_room ) & ( first_floor ) ) U ( first_floor ) )
the green room until landmark one and the red room until the first floor	( ( green_room ) U ( ( landmark_1 ) & ( red_room ) ) ) U ( first_floor )
landmark one until the red room until the first floor and the red room	( landmark_1 ) U ( ( red_room ) U ( ( first_floor ) & ( red_room ) ) )
the red room until the red room and the red room until the red room	( red_room ) U ( ( ( red_room ) & ( red_room ) ) U ( red_room ) )
landmark one until the first floor until the green room and the red room	( landmark_1 ) U ( ( first_floor ) U ( ( green_room ) & ( red_room ) ) )
landmark one until the red room and the first floor until landmark one	( ( landmark_1 ) U ( ( red_room ) & ( first_floor ) ) ) U ( landmark_1 )
the green room and the green room until the red room until the red room	( ( ( green_room ) & ( green_room ) ) U ( red_room ) ) U ( red_room )
the green room until the green room until the red room and the first floor	( green_room ) U ( ( green_room ) U ( ( red_room ) & ( first_floor ) ) )
the red room until landmark one and landmark one until landmark one	( red_room ) U ( ( ( landmark_1 ) & ( landmark_1 ) ) U ( landmark_1 ) )
the red room until landmark one and the red room until the first floor	( red_room ) U ( ( ( landmark_1 ) & ( red_room ) ) U ( first_floor ) )
the red room until the green room until the red room and the red room	( red_room ) U ( ( green_room ) U ( ( red_room ) & ( red_room ) ) )
the green room until the green room and the first floor until landmark one	( ( green_room ) U ( ( green_room ) & ( first_floor ) ) ) U ( landmark_1 )
the red room and the green room until the first floor until landmark one	( ( ( red_room ) & ( green_room ) ) U ( first_floor ) ) U ( landmark_1 )
landmark one until landmark one and landmark one until the red room	( ( landmark_1 ) U ( ( landmark_1 ) & ( landmark_1 ) ) ) U ( red_room )
landmark one until the red room until the green room and landmark one	( landmark_1 ) U ( ( red_room ) U ( ( green_room ) & ( landmark_1 ) ) )
the first floor until the first floor and the red room until the red room	( ( first_floor ) U ( ( first_floor ) & ( red_room ) ) ) U ( red_room )
the red room and the red room until the first floor until the green room	( ( ( red_room ) & ( red_room ) ) U ( first_floor ) ) U ( green_room )
landmark one until landmark one and landmark one until the red room	( landmark_1 ) U ( ( ( landmark_1 ) & ( landmark_1 ) ) U ( red_room ) )
the red room until the first floor until the green room and the first floor	( red_room ) U ( ( first_floor ) U ( ( green_room ) & ( first_floor ) ) )
the first floor until landmark one and the green room until the first floor	( first_floor ) U ( ( ( landmark_1 ) & ( green_room ) ) U ( first_floor ) )
the first floor until landmark one and landmark one until the red room	( ( first_floor ) U ( ( landmark_1 ) & ( landmark_1 ) ) ) U ( red_room )
the green room until landmark one until the red room and the green room	( green_room ) U ( ( landmark_1 ) U ( ( red_room ) & ( green_room ) ) )
the green room until landmark one until landmark one and landmark one	( green_room ) U ( ( landmark_1 ) U ( ( landmark_1 ) & ( landmark_1 ) ) )
the red room and landmark one until the red room until the green room	( ( ( red_room ) & ( landmark_1 ) ) U ( red_room ) ) U ( green_room )
the red room until the red room and the red room until the first floor	( red_room ) U ( ( ( red_room ) & ( red_room ) ) U ( first_floor ) )
the first floor and landmark one until the green room until the red room	( ( ( first_floor ) & ( landmark_1 ) ) U ( green_room ) ) U ( red_room )
the red room until the green room and landmark one until the green room	( ( red_room ) U ( ( green_room ) & ( landmark_1 ) ) ) U ( green_room )
the first floor and the green room until the red room until the first floor	( ( ( first_floor ) & ( green_room ) ) U ( red_room ) ) U ( first_floor )
the red room until the first floor until landmark one and the first floor	( red_room ) U ( ( first_floor ) U ( ( landmark_1 ) & ( first_floor ) ) )
the first floor until the green room until landmark one and the green room	( first_floor ) U ( ( green_room ) U ( ( landmark_1 ) & ( green_room ) ) )
landmark one and the first floor until the red room until the green room	( ( ( landmark_1 ) & ( first_floor ) ) U ( red_room ) ) U ( green_room )
landmark one and the first floor until the first floor until the green room	( ( ( landmark_1 ) & ( first_floor ) ) U ( first_floor ) ) U ( green_room )
the first floor and landmark one until the red room until the first floor	( ( ( first_floor ) & ( landmark_1 ) ) U ( red_room ) ) U ( first_floor )
the green room and landmark one until the red room until the green room	( ( ( green_room ) & ( landmark_1 ) ) U ( red_room ) ) U ( green_room )
the first floor until landmark one until the first floor and landmark one	( first_floor ) U ( ( landmark_1 ) U ( ( first_floor ) & ( landmark_1 ) ) )
the green room until landmark one until the first floor and landmark one	( green_room ) U ( ( landmark_1 ) U ( ( first_floor ) & ( landmark_1 ) ) )
landmark one until the first floor and landmark one until the red room	( ( landmark_1 ) U ( ( first_floor ) & ( landmark_1 ) ) ) U ( red_room )
the green room until the green room and the green room until the first floor	( green_room ) U ( ( ( green_room ) & ( green_room ) ) U ( first_floor ) )
the green room until the first floor and the red room until the red room	( ( green_room ) U ( ( first_floor ) & ( red_room ) ) ) U ( red_room )
the green room until the green room and landmark one until the green room	( ( green_room ) U ( ( green_room ) & ( landmark_1 ) ) ) U ( green_room )
the first floor and landmark one until the first floor until the first floor	( ( ( first_floor ) & ( landmark_1 ) ) U ( first_floor ) ) U ( first_floor )
the red room until the first floor and the red room until the green room	( red_room ) U ( ( ( first_floor ) & ( red_room ) ) U ( green_room ) )
landmark one and the green room until landmark one until landmark one	( ( ( landmark_1 ) & ( green_room ) ) U ( landmark_1 ) ) U ( landmark_1 )
landmark one until the red room and the first floor until the first floor	( ( landmark_1 ) U ( ( red_room ) & ( first_floor ) ) ) U ( first_floor )
the red room until the green room until the first floor and the first floor	( red_room ) U ( ( green_room ) U ( ( first_floor ) & ( first_floor ) ) )
the first floor until the green room and the first floor until the green room	( ( first_floor ) U ( ( green_room ) & ( first_floor ) ) ) U ( green_room )
the first floor and the first floor until the green room until the green room	( ( ( first_floor ) & ( first_floor ) ) U ( green_room ) ) U ( green_room )
landmark one until landmark one until the green room and landmark one	( landmark_1 ) U ( ( landmark_1 ) U ( ( green_room ) & ( landmark_1 ) ) )
the green room until the red room and landmark one until landmark one	( green_room ) U ( ( ( red_room ) & ( landmark_1 ) ) U ( landmark_1 ) )
the red room until landmark one and the first floor until the green room	( red_room ) U ( ( ( landmark_1 ) & ( first_floor ) ) U ( green_room ) )
landmark one until landmark one and landmark one until the first floor	( ( landmark_1 ) U ( ( landmark_1 ) & ( landmark_1 ) ) ) U ( first_floor )
landmark one and the first floor until the red room until the first floor	( ( ( landmark_1 ) & ( first_floor ) ) U ( red_room ) ) U ( first_floor )
the green room until the red room and the red room until the green room	( green_room ) U ( ( ( red_room ) & ( red_room ) ) U ( green_room ) )
landmark one and landmark one until landmark one until the green room	( ( ( landmark_1 ) & ( landmark_1 ) ) U ( landmark_1 ) ) U ( green_room )
the red room until landmark one and the red room until the first floor	( ( red_room ) U ( ( landmark_1 ) & ( red_room ) ) ) U ( first_floor )
the green room and landmark one until the red room until the red room	( ( ( green_room ) & ( landmark_1 ) ) U ( red_room ) ) U ( red_room )
the green room until the red room until the red room and the first floor	( green_room ) U ( ( red_room ) U ( ( red_room ) & ( first_floor ) ) )
landmark one and the first floor until landmark one until landmark one	( ( ( landmark_1 ) & ( first_floor ) ) U ( landmark_1 ) ) U ( landmark_1 )
landmark one and the green room until the green room until the red room	( ( ( landmark_1 ) & ( green_room ) ) U ( green_room ) ) U ( red_room )
the first floor until the red room and landmark one until the green room	( ( first_floor ) U ( ( red_room ) & ( landmark_1 ) ) ) U ( green_room )
landmark one until landmark one and landmark one until the green room	( landmark_1 ) U ( ( ( landmark_1 ) & ( landmark_1 ) ) U ( green_room ) )
landmark one and the red room until the first floor until the green room	( ( ( landmark_1 ) & ( red_room ) ) U ( first_floor ) ) U ( green_room )
the first floor until the red room until landmark one and the first floor	( first_floor ) U ( ( red_room ) U ( ( landmark_1 ) & ( first_floor ) ) )
the green room and landmark one until the green room and the green room	( ( green_room ) & ( landmark_1 ) ) U ( ( green_room ) & ( green_room ) )
landmark one and the first floor until landmark one and landmark one	( ( landmark_1 ) & ( first_floor ) ) U ( ( landmark_1 ) & ( landmark_1 ) )
landmark one and the green room until the green room and landmark one	( ( landmark_1 ) & ( green_room ) ) U ( ( green_room ) & ( landmark_1 ) )
the first floor and the green room until the green room and the green room	( ( first_floor ) & ( green_room ) ) U ( ( green_room ) & ( green_room ) )
landmark one and the first floor until the first floor and the red room	( ( landmark_1 ) & ( first_floor ) ) U ( ( first_floor ) & ( red_room ) )
landmark one and the green room until the first floor and the green room	( ( landmark_1 ) & ( green_room ) ) U ( ( first_floor ) & ( green_room ) )
the red room and the first floor until the first floor and landmark one	( ( red_room ) & ( first_floor ) ) U ( ( first_floor ) & ( landmark_1 ) )
the green room and the green room until the red room and landmark one	( ( green_room ) & ( green_room ) ) U ( ( red_room ) & ( landmark_1 ) )
the first floor and the red room until the green room and the red room	( ( first_floor ) & ( red_room ) ) U ( ( green_room ) & ( red_room ) )
landmark one and landmark one until landmark one and the green room	( ( landmark_1 ) & ( landmark_1 ) ) U ( ( landmark_1 ) & ( green_room ) )
the first floor and the green room until the green room and the red room	( ( first_floor ) & ( green_room ) ) U ( ( green_room ) & ( red_room ) )
the red room and landmark one until the red room and the green room	( ( red_room ) & ( landmark_1 ) ) U ( ( red_room ) & ( green_room ) )
the red room and the green room until the first floor and landmark one	( ( red_room ) & ( green_room ) ) U ( ( first_floor ) & ( landmark_1 ) )
the red room and the first floor until landmark one and landmark one	( ( red_room ) & ( first_floor ) ) U ( ( landmark_1 ) & ( landmark_1 ) )
the first floor and landmark one until landmark one and the red room	( ( first_floor ) & ( landmark_1 ) ) U ( ( landmark_1 ) & ( red_room ) )
the first floor and landmark one until the red room and landmark one	( ( first_floor ) & ( landmark_1 ) ) U ( ( red_room ) & ( landmark_1 ) )
the first floor and the red room until landmark one and landmark one	( ( first_floor ) & ( red_room ) ) U ( ( landmark_1 ) & ( landmark_1 ) )
the green room and the first floor until the green room and the red room	( ( green_room ) & ( first_floor ) ) U ( ( green_room ) & ( red_room ) )
landmark one and the red room until the green room and the first floor	( ( landmark_1 ) & ( red_room ) ) U ( ( green_room ) & ( first_floor ) )
the green room and the green room until the green room and the red room	( ( green_room ) & ( green_room ) ) U ( ( green_room ) & ( red_room ) )
landmark one and the green room until the green room and the red room	( ( landmark_1 ) & ( green_room ) ) U ( ( green_room ) & ( red_room ) )
the first floor and the red room until the red room and the green room	( ( first_floor ) & ( red_room ) ) U ( ( red_room ) & ( green_room ) )
the green room and the first floor until the green room and the green room	( ( green_room ) & ( first_floor ) ) U ( ( green_room ) & ( green_room ) )
landmark one and the green room until the green room and the green room	( ( landmark_1 ) & ( green_room ) ) U ( ( green_room ) & ( green_room ) )
the first floor and the red room until landmark one and the green room	( ( first_floor ) & ( red_room ) ) U ( ( landmark_1 ) & ( green_room ) )
landmark one and landmark one until the first floor and the green room	( ( landmark_1 ) & ( landmark_1 ) ) U ( ( first_floor ) & ( green_room ) )
the first floor and the green room until landmark one and the green room	( ( first_floor ) & ( green_room ) ) U ( ( landmark_1 ) & ( green_room ) )
landmark one and landmark one until the first floor and the red room	( ( landmark_1 ) & ( landmark_1 ) ) U ( ( first_floor ) & ( red_room ) )
the red room and landmark one until the green room and landmark one	( ( red_room ) & ( landmark_1 ) ) U ( ( green_room ) & ( landmark_1 ) )
the red room and the green room until landmark one and the red room	( ( red_room ) & ( green_room ) ) U ( ( landmark_1 ) & ( red_room ) )
the first floor and landmark one until the red room and the red room	( ( first_floor ) & ( landmark_1 ) ) U ( ( red_room ) & ( red_room ) )
the red room and the green room until the red room and the red room	( ( red_room ) & ( green_room ) ) U ( ( red_room ) & ( red_room ) )
landmark one and the red room until the red room and the first floor	( ( landmark_1 ) & ( red_room ) ) U ( ( red_room ) & ( first_floor ) )
the red room and the first floor until the green room and the first floor	( ( red_room ) & ( first_floor ) ) U ( ( green_room ) & ( first_floor ) )
the first floor and the red room until landmark one and the red room	( ( first_floor ) & ( red_room ) ) U ( ( landmark_1 ) & ( red_room ) )
landmark one and the green room until landmark one and the green room	( ( landmark_1 ) & ( green_room ) ) U ( ( landmark_1 ) & ( green_room ) )
the green room and the first floor until the first floor and the first floor	( ( green_room ) & ( first_floor ) ) U ( ( first_floor ) & ( first_floor ) )
the green room and the red room until the red room and the first floor	( ( green_room ) & ( red_room ) ) U ( ( red_room ) & ( first_floor ) )
the green room and landmark one until landmark one and the green room	( ( green_room ) & ( landmark_1 ) ) U ( ( landmark_1 ) & ( green_room ) )
landmark one and the first floor until the red room and landmark one	( ( landmark_1 ) & ( first_floor ) ) U ( ( red_room ) & ( landmark_1 ) )
landmark one and the red room until the red room and landmark one	( ( landmark_1 ) & ( red_room ) ) U ( ( red_room ) & ( landmark_1 ) )
landmark one and the first floor until the green room and the red room	( ( landmark_1 ) & ( first_floor ) ) U ( ( green_room ) & ( red_room ) )
the first floor and the green room until the red room and the green room	( ( first_floor ) & ( green_room ) ) U ( ( red_room ) & ( green_room ) )
the first floor and landmark one until the first floor and landmark one	( ( first_floor ) & ( landmark_1 ) ) U ( ( first_floor ) & ( landmark_1 ) )
the first floor and landmark one until the green room and the green room	( ( first_floor ) & ( landmark_1 ) ) U ( ( green_room ) & ( green_room ) )
the first floor and landmark one until the red room and the first floor	( ( first_floor ) & ( landmark_1 ) ) U ( ( red_room ) & ( first_floor ) )
the first floor and the green room until the green room and landmark one	( ( first_floor ) & ( green_room ) ) U ( ( green_room ) & ( landmark_1 ) )
the green room and landmark one until the first floor and the first floor	( ( green_room ) & ( landmark_1 ) ) U ( ( first_floor ) & ( first_floor ) )
the red room and the first floor until the red room and the red room	( ( red_room ) & ( first_floor ) ) U ( ( red_room ) & ( red_room ) )
the first floor and the first floor until landmark one and landmark one	( ( first_floor ) & ( first_floor ) ) U ( ( landmark_1 ) & ( landmark_1 ) )
the red room and the green room until landmark one and the green room	( ( red_room ) & ( green_room ) ) U ( ( landmark_1 ) & ( green_room ) )
the green room and the green room until landmark one and the first floor	( ( green_room ) & ( green_room ) ) U ( ( landmark_1 ) & ( first_floor ) )
landmark one and the first floor until landmark one and the red room	( ( landmark_1 ) & ( first_floor ) ) U ( ( landmark_1 ) & ( red_room ) )
the first floor and landmark one until the first floor and the red room	( ( first_floor ) & ( landmark_1 ) ) U ( ( first_floor ) & ( red_room ) )
the green room and the red room until the green room and the first floor	( ( green_room ) & ( red_room ) ) U ( ( green_room ) & ( first_floor ) )
the first floor and landmark one until the green room and the red room	( ( first_floor ) & ( landmark_1 ) ) U ( ( green_room ) & ( red_room ) )
the green room and the first floor until the red room and the red room	( ( green_room ) & ( first_floor ) ) U ( ( red_room ) & ( red_room ) )
the first floor and landmark one until the red room and the green room	( ( first_floor ) & ( landmark_1 ) ) U ( ( red_room ) & ( green_room ) )
the green room and landmark one until the green room and landmark one	( ( green_room ) & ( landmark_1 ) ) U ( ( green_room ) & ( landmark_1 ) )
landmark one and the first floor until the first floor and the green room	( ( landmark_1 ) & ( first_floor ) ) U ( ( first_floor ) & ( green_room ) )
landmark one and the green room until the green room and the first floor	( ( landmark_1 ) & ( green_room ) ) U ( ( green_room ) & ( first_floor ) )
the green room and landmark one until the green room and the first floor	( ( green_room ) & ( landmark_1 ) ) U ( ( green_room ) & ( first_floor ) )
the red room and the red room until the first floor and the green room	( ( red_room ) & ( red_room ) ) U ( ( first_floor ) & ( green_room ) )
the green room and the red room until the first floor and the first floor	( ( green_room ) & ( red_room ) ) U ( ( first_floor ) & ( first_floor ) )
the green room and landmark one until the first floor and the green room	( ( green_room ) & ( landmark_1 ) ) U ( ( first_floor ) & ( green_room ) )
landmark one and landmark one until the green room and the red room	( ( landmark_1 ) & ( landmark_1 ) ) U ( ( green_room ) & ( red_room ) )
the red room and the green room until the red room and the first floor	( ( red_room ) & ( green_room ) ) U ( ( red_room ) & ( first_floor ) )
the green room and the red room until the red room and the red room	( ( green_room ) & ( red_room ) ) U ( ( red_room ) & ( red_room ) )
the first floor and the red room until landmark one and the first floor	( ( first_floor ) & ( red_room ) ) U ( ( landmark_1 ) & ( first_floor ) )
the first floor and the red room until the first floor and the red room	( ( first_floor ) & ( red_room ) ) U ( ( first_floor ) & ( red_room ) )
the green room and the red room until the first floor and landmark one	( ( green_room ) & ( red_room ) ) U ( ( first_floor ) & ( landmark_1 ) )
landmark one and the red room until landmark one and landmark one	( ( landmark_1 ) & ( red_room ) ) U ( ( landmark_1 ) & ( landmark_1 ) )
the green room and the green room until the green room and the green room	( ( green_room ) & ( green_room ) ) U ( ( green_room ) & ( green_room ) )
the first floor and the first floor until landmark one and the first floor	( ( first_floor ) & ( first_floor ) ) U ( ( landmark_1 ) & ( first_floor ) )
landmark one and the first floor until the green room and the first floor	( ( landmark_1 ) & ( first_floor ) ) U ( ( green_room ) & ( first_floor ) )
the first floor and the first floor until the red room and landmark one	( ( first_floor ) & ( first_floor ) ) U ( ( red_room ) & ( landmark_1 ) )
the red room and the red room until landmark one and the red room	( ( red_room ) & ( red_room ) ) U ( ( landmark_1 ) & ( red_room ) )
the green room and the green room until the red room and the red room	( ( green_room ) & ( green_room ) ) U ( ( red_room ) & ( red_room ) )
the first floor and the red room until the first floor and the green room	( ( first_floor ) & ( red_room ) ) U ( ( first_floor ) & ( green_room ) )
the red room and the red room until the red room and the red room	( ( red_room ) & ( red_room ) ) U ( ( red_room ) & ( red_room ) )
the green room and landmark one until the red room and the first floor	( ( green_room ) & ( landmark_1 ) ) U ( ( red_room ) & ( first_floor ) )
landmark one and the red room until the green room and landmark one	( ( landmark_1 ) & ( red_room ) ) U ( ( green_room ) & ( landmark_1 ) )
the first floor and landmark one until landmark one and landmark one	( ( first_floor ) & ( landmark_1 ) ) U ( ( landmark_1 ) & ( landmark_1 ) )
the red room and the red room until the red room and landmark one	( ( red_room ) & ( red_room ) ) U ( ( red_room ) & ( landmark_1 ) )
the red room and the red room until landmark one and landmark one	( ( red_room ) & ( red_room ) ) U ( ( landmark_1 ) & ( landmark_1 ) )
the red room and the first floor until the first floor and the green room	( ( red_room ) & ( first_floor ) ) U ( ( first_floor ) & ( green_room ) )
the first floor and the green room until landmark one and the red room	( ( first_floor ) & ( green_room ) ) U ( ( landmark_1 ) & ( red_room ) )
the green room and the green room until the first floor and landmark one	( ( green_room ) & ( green_room ) ) U ( ( first_floor ) & ( landmark_1 ) )
landmark one and the green room until landmark one and landmark one	( ( landmark_1 ) & ( green_room ) ) U ( ( landmark_1 ) & ( landmark_1 ) )
landmark one and the red room until the first floor and the red room	( ( landmark_1 ) & ( red_room ) ) U ( ( first_floor ) & ( red_room ) )
landmark one and the green room until the first floor and landmark one	( ( landmark_1 ) & ( green_room ) ) U ( ( first_floor ) & ( landmark_1 ) )
the red room and the red room until the green room and the green room	( ( red_room ) & ( red_room ) ) U ( ( green_room ) & ( green_room ) )
the first floor and the first floor until the green room and landmark one	( ( first_floor ) & ( first_floor ) ) U ( ( green_room ) & ( landmark_1 ) )
the first floor and the first floor until the green room and the first floor	( ( first_floor ) & ( first_floor ) ) U ( ( green_room ) & ( first_floor ) )
landmark one and the first floor until the green room and the green room	( ( landmark_1 ) & ( first_floor ) ) U ( ( green_room ) & ( green_room ) )
landmark one and the red room until the green room and the green room	( ( landmark_1 ) & ( red_room ) ) U ( ( green_room ) & ( green_room ) )
the red room and the first floor until the red room and the first floor	( ( red_room ) & ( first_floor ) ) U ( ( red_room ) & ( first_floor ) )
landmark one and the green room until the red room and landmark one	( ( landmark_1 ) & ( green_room ) ) U ( ( red_room ) & ( landmark_1 ) )
the green room and the green room until the first floor and the first floor	( ( green_room ) & ( green_room ) ) U ( ( first_floor ) & ( first_floor ) )
the green room and landmark one until landmark one and landmark one	( ( green_room ) & ( landmark_1 ) ) U ( ( landmark_1 ) & ( landmark_1 ) )
the green room and the first floor until landmark one and landmark one	( ( green_room ) & ( first_floor ) ) U ( ( landmark_1 ) & ( landmark_1 ) )
the first floor and landmark one until the first floor and the first floor	( ( first_floor ) & ( landmark_1 ) ) U ( ( first_floor ) & ( first_floor ) )
the first floor and the first floor until the red room and the green room	( ( first_floor ) & ( first_floor ) ) U ( ( red_room ) & ( green_room ) )
landmark one and the red room until landmark one and the first floor	( ( landmark_1 ) & ( red_room ) ) U ( ( landmark_1 ) & ( first_floor ) )
landmark one and the green room until landmark one and the first floor	( ( landmark_1 ) & ( green_room ) ) U ( ( landmark_1 ) & ( first_floor ) )
the red room and the first floor until the first floor and the first floor	( ( red_room ) & ( first_floor ) ) U ( ( first_floor ) & ( first_floor ) )
the first floor and the first floor until landmark one and the red room	( ( first_floor ) & ( first_floor ) ) U ( ( landmark_1 ) & ( red_room ) )
the red room and landmark one until the green room and the red room	( ( red_room ) & ( landmark_1 ) ) U ( ( green_room ) & ( red_room ) )
the first floor and the first floor until the green room and the green room	( ( first_floor ) & ( first_floor ) ) U ( ( green_room ) & ( green_room ) )
the red room and landmark one until the red room and the first floor	( ( red_room ) & ( landmark_1 ) ) U ( ( red_room ) & ( first_floor ) )
the green room and the first floor until the green room and landmark one	( ( green_room ) & ( first_floor ) ) U ( ( green_room ) & ( landmark_1 ) )
the red room and the red room until the red room and the first floor	( ( red_room ) & ( red_room ) ) U ( ( red_room ) & ( first_floor ) )
the red room and the red room until the first floor and the first floor	( ( red_room ) & ( red_room ) ) U ( ( first_floor ) & ( first_floor ) )
landmark one and the red room until the red room and the red room	( ( landmark_1 ) & ( red_room ) ) U ( ( red_room ) & ( red_room ) )
the red room and the first floor until the green room and the red room	( ( red_room ) & ( first_floor ) ) U ( ( green_room ) & ( red_room ) )
landmark one and the red room until the first floor and landmark one	( ( landmark_1 ) & ( red_room ) ) U ( ( first_floor ) & ( landmark_1 ) )
the first floor and the red room until the red room and the red room	( ( first_floor ) & ( red_room ) ) U ( ( red_room ) & ( red_room ) )
landmark one and the first floor until the first floor and the first floor	( ( landmark_1 ) & ( first_floor ) ) U ( ( first_floor ) & ( first_floor ) )
landmark one and landmark one until the red room and landmark one	( ( landmark_1 ) & ( landmark_1 ) ) U ( ( red_room ) & ( landmark_1 ) )
the red room and the green room until the red room and landmark one	( ( red_room ) & ( green_room ) ) U ( ( red_room ) & ( landmark_1 ) )
landmark one and the green room until the first floor and the first floor	( ( landmark_1 ) & ( green_room ) ) U ( ( first_floor ) & ( first_floor ) )
the green room and the first floor until the red room and the green room	( ( green_room ) & ( first_floor ) ) U ( ( red_room ) & ( green_room ) )
the red room and landmark one until landmark one and the green room	( ( red_room ) & ( landmark_1 ) ) U ( ( landmark_1 ) & ( green_room ) )
landmark one and the red room until landmark one and the green room	( ( landmark_1 ) & ( red_room ) ) U ( ( landmark_1 ) & ( green_room ) )
the green room and landmark one until the red room and landmark one	( ( green_room ) & ( landmark_1 ) ) U ( ( red_room ) & ( landmark_1 ) )
the red room and landmark one until landmark one and the red room	( ( red_room ) & ( landmark_1 ) ) U ( ( landmark_1 ) & ( red_room ) )
the red room and landmark one until landmark one and the first floor	( ( red_room ) & ( landmark_1 ) ) U ( ( landmark_1 ) & ( first_floor ) )
landmark one and the green room until the red room and the first floor	( ( landmark_1 ) & ( green_room ) ) U ( ( red_room ) & ( first_floor ) )
the red room and the red room until landmark one and the green room	( ( red_room ) & ( red_room ) ) U ( ( landmark_1 ) & ( green_room ) )
the red room and the red room until the green room and the red room	( ( red_room ) & ( red_room ) ) U ( ( green_room ) & ( red_room ) )
landmark one and the first floor until landmark one and the first floor	( ( landmark_1 ) & ( first_floor ) ) U ( ( landmark_1 ) & ( first_floor ) )
landmark one and landmark one until the red room and the first floor	( ( landmark_1 ) & ( landmark_1 ) ) U ( ( red_room ) & ( first_floor ) )
the first floor and the green room until the first floor and the red room	( ( first_floor ) & ( green_room ) ) U ( ( first_floor ) & ( red_room ) )
the green room and landmark one until the first floor and landmark one	( ( green_room ) & ( landmark_1 ) ) U ( ( first_floor ) & ( landmark_1 ) )
the green room and the red room until the red room and the green room	( ( green_room ) & ( red_room ) ) U ( ( red_room ) & ( green_room ) )
the green room and landmark one until the first floor and the red room	( ( green_room ) & ( landmark_1 ) ) U ( ( first_floor ) & ( red_room ) )
the first floor and landmark one until the green room and the first floor	( ( first_floor ) & ( landmark_1 ) ) U ( ( green_room ) & ( first_floor ) )
landmark one and the red room until the red room and the green room	( ( landmark_1 ) & ( red_room ) ) U ( ( red_room ) & ( green_room ) )
the first floor and the green room until the red room and landmark one	( ( first_floor ) & ( green_room ) ) U ( ( red_room ) & ( landmark_1 ) )
landmark one and landmark one until landmark one and landmark one	( ( landmark_1 ) & ( landmark_1 ) ) U ( ( landmark_1 ) & ( landmark_1 ) )
the first floor and the green room until the red room and the first floor	( ( first_floor ) & ( green_room ) ) U ( ( red_room ) & ( first_floor ) )
the red room and landmark one until the first floor and the first floor	( ( red_room ) & ( landmark_1 ) ) U ( ( first_floor ) & ( first_floor ) )
the green room and landmark one until the green room and the red room	( ( green_room ) & ( landmark_1 ) ) U ( ( green_room ) & ( red_room ) )
the green room and the first floor until the first floor and the green room	( ( green_room ) & ( first_floor ) ) U ( ( first_floor ) & ( green_room ) )
the red room and landmark one until the green room and the green room	( ( red_room ) & ( landmark_1 ) ) U ( ( green_room ) & ( green_room ) )
the green room and the first floor until the red room and landmark one	( ( green_room ) & ( first_floor ) ) U ( ( red_room ) & ( landmark_1 ) )
landmark one and landmark one until landmark one and the first floor	( ( landmark_1 ) & ( landmark_1 ) ) U ( ( landmark_1 ) & ( first_floor ) )
landmark one and the green room until landmark one and the red room	( ( landmark_1 ) & ( green_room ) ) U ( ( landmark_1 ) & ( red_room ) )
the first floor and the first floor until the red room and the first floor	( ( first_floor ) & ( first_floor ) ) U ( ( red_room ) & ( first_floor ) )
the green room and landmark one until the red room and the red room	( ( green_room ) & ( landmark_1 ) ) U ( ( red_room ) & ( red_room ) )
the red room and the first floor until landmark one and the first floor	( ( red_room ) & ( first_floor ) ) U ( ( landmark_1 ) & ( first_floor ) )
the first floor and the first floor until the red room and the red room	( ( first_floor ) & ( first_floor ) ) U ( ( red_room ) & ( red_room ) )
the green room and the first floor until the green room and the first floor	( ( green_room ) & ( first_floor ) ) U ( ( green_room ) & ( first_floor ) )
the first floor and the green room until the first floor and the green room	( ( first_floor ) & ( green_room ) ) U ( ( first_floor ) & ( green_room ) )
landmark one and the red room until the first floor and the green room	( ( landmark_1 ) & ( red_room ) ) U ( ( first_floor ) & ( green_room ) )
the first floor and the green room until the first floor and landmark one	( ( first_floor ) & ( green_room ) ) U ( ( first_floor ) & ( landmark_1 ) )
the green room and the green room until the first floor and the green room	( ( green_room ) & ( green_room ) ) U ( ( first_floor ) & ( green_room ) )
the green room and the green room until the red room and the first floor	( ( green_room ) & ( green_room ) ) U ( ( red_room ) & ( first_floor ) )
